step time energy_relative modified_relative
2208 2.2999999999999998 3.1829367638911708e-05 1.4037242612954695e-14
2256 2.3500000000000001 2.928940545450278e-05 -2.0836532003604626e-14
2304 2.3999999999999999 3.0072754163226897e-05 -5.4613647041026863e-14
2352 2.4500000000000002 2.9746376581865256e-05 6.141293643167679e-15
2400 2.5 2.9250310748806068e-05 1.0966595791370856e-15
2448 2.5499999999999998 3.1558025929056996e-05 3.7286425690660913e-15
2496 2.6000000000000001 3.0606568662892692e-05 -3.8602417185625409e-14
2544 2.6499999999999999 2.8577208504873941e-05 -2.3687846909361047e-14
2592 2.7000000000000002 3.137154631546324e-05 5.3078323630234942e-14
2640 2.75 3.0401957428366612e-05 -5.3955651293544608e-14
2688 2.7999999999999998 3.0024708999969512e-05 -4.6937029987067261e-14
2736 2.8500000000000001 2.9549988309886862e-05 7.8959489697870157e-15
2784 2.8999999999999999 2.9285015760892644e-05 2.6319829899290054e-14
2832 2.9500000000000002 2.9920044249277827e-05 -5.0446340640305934e-15
2880 3 3.1610015702686348e-05 -3.2022459710802902e-14
2928 3.0499999999999998 3.0180373613335516e-05 -2.8074485225909389e-14
2976 3.1000000000000001 2.9922892508670667e-05 -3.0706468215838395e-15
3024 3.1499999999999999 3.0666752490465231e-05 -1.6011229855401451e-14
3072 3.2000000000000002 3.0036965044584722e-05 2.7635821394254556e-14
3120 3.25 3.0115932020080879e-05 3.0706468215838397e-14
3168 3.2999999999999998 2.9590905274489949e-05 1.9739872424467541e-14
3216 3.3500000000000001 2.9190661339457674e-05 3.3557783121594817e-14
3264 3.3999999999999999 3.0785739534326969e-05 -2.1933191582741712e-15
3312 3.4499999999999997 3.0121989174272493e-05 -3.8602417185625409e-14
3360 3.5 3.0018641374214243e-05 6.7992893906499309e-15
3408 3.5499999999999998 3.1857879784087091e-05 1.3379246865472444e-14
3456 3.6000000000000001 2.9782739286147776e-05 -9.8699362122337704e-15
3504 3.6499999999999999 2.9042278929527994e-05 1.6230561771228867e-14
3552 3.6999999999999997 3.0859976598853758e-05 3.2899787374112568e-15
3600 3.75 2.9384243436573913e-05 9.8699362122337704e-15
3648 3.7999999999999998 3.0489285597279759e-05 -4.3866383165483421e-16
3696 3.8500000000000001 2.9929391945889878e-05 1.4037242612954695e-14
3744 3.8999999999999999 2.9769675072731628e-05 -1.8862544761157872e-14
3792 3.9499999999999997 3.0686410105744649e-05 1.8862544761157872e-14
