step,time,maximum,minimum,heat,supplied,removed,balance,error
7500,75.000000000001464,15.515053072450057,2.6595338861766207,205.38157035878211,246.55534820377909,41.173777845014463,1.735955823534141e-11,11.765053072449984
8000,80.000000000004022,16.304823618150866,2.8020636901452933,216.59464713249008,262.99237141736393,46.397724284894359,2.0550949830777654e-11,12.304823618150666
8500,85.00000000000658,17.068200454289482,2.9415129054797409,227.54138247104513,279.42939463094837,51.888012159926596,2.2988749792673957e-11,12.818200454289153
9000,90.000000000009138,17.806217281173403,3.0779890257235443,238.22816770597652,295.86641784453315,57.638250138580936,2.4252294616999848e-11,13.306217281172945
9500,95.000000000011696,18.519871196008054,3.2115926500068421,248.66122293299813,312.30344105811844,63.642218125144602,2.4219570793349021e-11,13.76987119600747
10000,100.00000000001425,19.210119578725106,3.3424184222795019,258.84660646053607,328.74046427170197,69.893857811191111,2.3501645074475164e-11,14.210119578724393
10500,105.00000000001681,19.877878832732307,3.4705557259344482,268.79022255227409,345.17748748528828,76.387264933035667,2.1832757823858628e-11,14.627878832731465
11000,110.00000000001937,20.524024360006901,3.5960892062538088,278.49782791194025,361.6145106988721,83.116682786951159,1.9812984586309312e-11,15.024024360005933
11500,115.00000000002193,21.149391338365671,3.7190991723185189,287.97503723570838,378.05153391245761,90.076496676765942,1.7389922835064908e-11,15.399391338364575
12000,120.00000000002449,21.754776001491006,3.8396619150222153,297.22732806854378,394.4885571260416,97.261229057510832,1.4227563571722612e-11,15.75477600148978
12500,125.00000000002704,22.340937215681276,3.9578499670288778,306.26004513630454,410.92558033962513,104.66553520333248,1.0838829833659247e-11,16.090937215679922
13000,130.00000000002674,22.908598212870029,4.0737323227561735,315.07840427852932,427.36260355320979,112.28419927468786,7.0495831394623565e-12,16.408598212868693
13500,135.0000000000222,23.458448385388099,4.1873746309134496,323.68749607302965,443.7996267667944,120.11213069376829,2.6961766153021927e-12,16.708448385386987
14000,140.00000000001765,23.991145080006206,4.2988393681674468,332.09228921867077,460.23664998038038,128.14436076170733,-1.8311463456655019e-12,16.991145080005325
14500,145.0000000000131,24.50731535107364,4.4081859997054238,340.29763372498326,476.67367319396521,136.37603946897482,-6.4410143885140769e-12,17.257315351072986
15000,150.00000000000855,25.007557647959985,4.5154711304943591,348.30826394423673,493.11069640755176,144.80243246330329,-1.0857981180834031e-11,17.507557647959558
15500,155.00000000000401,25.492443422549041,4.620748649662092,356.12880147222802,509.54771962113608,153.41891814889058,-1.5954015886165962e-11,17.742443422548842
16000,159.99999999999946,25.962518649679229,4.7240698694828689,363.76375793726038,525.98474283472046,162.22098489743945,-2.0718537996344821e-11,17.962518649679257
16500,164.99999999999491,26.418305258192856,4.8254836598115274,371.2175376917333,542.42176604830695,171.20422835654753,-2.5121238422798342e-11,18.168305258193108
17000,169.99999999999037,26.860302473367355,4.9250365783904462,378.49444041729822,558.85878926189082,180.36434884456298,-2.9260982525869395e-11,18.360302473367838
17500,174.99999999998582,27.288988073468822,5.0227729971851636,385.59866365180505,575.29581247547526,189.69714882363627,-3.3710423341659634e-11,18.538988073469532
18000,179.99999999998127,27.704819564345623,5.1187352247434754,392.53430524441552,591.73283568905981,199.19853044460567,-3.8255121292962713e-11,18.704819564346561
18500,184.99999999997672,28.108235276621276,5.2129636244843303,399.3053657438536,608.16985890264527,208.86449315874731,-4.3487546896869844e-11,18.858235276622441
19000,189.99999999997218,28.499655390328506,5.3054967287840027,405.91575072374701,624.60688211623051,218.69113139243444,-4.7184922635779003e-11,18.999655390329899
19500,194.99999999996763,28.879482891870307,5.396371348720316,412.36927304826571,641.0439053298137,228.6746322814968,-5.2138293682446601e-11,19.129482891871923
20000,199.99999999996308,29.248104468087245,5.4856226793493379,418.6696550807219,657.48092854340086,238.81127346262105,-5.6388005376106776e-11,19.248104468089089
20500,204.99999999995853,29.605891342009919,5.5732844004146305,424.82053083738901,673.91795175698508,249.09742091953515,-6.1485705415975644e-11,19.355891342011994
21000,209.99999999995399,29.953200054622076,5.6593887724209253,430.82544808848206,690.35497497056986,259.52952688202339,-6.643985361876048e-11,19.453200054624375
21500,214.99999999994944,30.290373196680822,5.7439667280380995,436.68787040804085,706.79199818415736,270.10412777604631,-6.9588335094294962e-11,19.540373196683348
