step,time,maximum,minimum,heat,supplied,removed,balance,error
7500,75.000000000001464,9.849035651186103,5.845803787463546,241.79928970194342,246.55534820377909,4.7560585018253692,-9.7174768232122233e-12,6.0990356511860302
8000,80.000000000004022,10.371438899363756,6.3094959169989222,257.50127578604457,262.99237141736393,5.4910956313099311,-8.7997387154814533e-12,6.3714388993635556
8500,85.00000000000658,10.889860601032751,6.7735774258781145,273.14714912705671,279.42939463094837,6.2822455038852869,-6.1887578395314335e-12,6.6398606010324226
9000,90.000000000009138,11.404761052461566,7.2376017456594104,288.73689068089288,295.86641784453315,7.1295271636387527,-1.5812073872467636e-12,6.9047610524611089
9500,95.000000000011696,11.916503317145917,7.7012193210837543,304.27052932578874,312.30344105811844,8.032911732334286,5.2233495306808209e-12,7.1665033171453327
10000,100.00000000001425,12.42537406818853,8.1641568230171497,319.74813143341976,328.74046427170197,8.9923328382986707,1.540140237565879e-11,7.4253740681878178
10500,105.00000000001681,12.931599958286094,8.6262008108141863,335.16979267493838,345.17748748528828,10.007694810376321,2.6693286470091948e-11,7.6815999582852532
11000,110.00000000001937,13.435360479225961,9.0871848939283364,350.53563158341308,361.6145106988721,11.07887911549691,3.8099801091817653e-11,7.9353604792249932
11500,115.00000000002193,13.936798064569958,9.5469796441508272,365.84578449639844,378.05153391245761,12.205749416107892,4.972372513734058e-11,8.1867980645688618
12000,120.00000000002449,14.436026026869079,10.005484669495054,381.10040158291173,394.4885571260416,13.38815554319109,6.1265159612133857e-11,8.4360260268678537
12500,125.00000000002704,14.93313479370333,10.462622386655356,396.29964372245291,410.92558033962513,14.625936617246033,7.279030156404076e-11,8.6831347937019778
13000,130.00000000002674,15.428196807212704,10.918333128088399,411.44368005345854,427.36260355320979,15.918923499835818,8.4366014174719339e-11,8.9281968072113678
13500,135.0000000000222,15.921270373583932,11.372571297718213,426.53268604772705,443.7996267667944,17.266940719163973,9.5585733772551862e-11,9.1712703735828214
14000,140.00000000001765,16.412402687544613,11.825302350540792,441.56684199807717,460.23664998038038,18.669807982405871,1.0361844715589541e-10,9.4124026875437306
14500,145.0000000000131,16.90163220868007,12.276500419559078,456.54633183071365,476.67367319396521,20.127341363361168,1.0912692971487559e-10,9.6516322086794162
15000,150.00000000000855,17.388990528484232,12.726146451317028,471.47134217265068,493.11069640755176,21.639354235012245,1.1200673721845078e-10,9.8889905284838058
15500,155.00000000000401,17.874503837292963,13.174226741033422,486.34206161958667,509.54771962113608,23.205658001661529,1.1302886404607193e-10,10.124503837292764
16000,159.99999999999946,18.358194076849134,13.620731781695014,501.15868016123017,525.98474283472046,24.826062673602568,1.1233391994380781e-10,10.358194076849163
16500,164.99999999999491,18.84007984587376,14.065655359823195,515.92138873033991,542.42176604830695,26.500377318074491,1.0943057571211057e-10,10.590079845874014
17000,169.99999999999037,19.320177111577586,14.508993845047989,530.63037884897835,558.85878926189082,28.228410413016327,1.0360678981413685e-10,10.820177111578069
17500,174.99999999998582,19.798499768703117,14.95074563195376,545.28584235111555,575.29581247547526,30.009970124454206,9.4867780298102389e-11,11.048499768703827
18000,179.99999999998127,20.275060078773457,15.390910701562268,559.88797116525302,591.73283568905981,31.844864523890397,8.3338280720823832e-11,11.275060078774395
18500,184.99999999997672,20.749869015221407,15.82949027681304,574.43695714415765,608.16985890264527,33.732901758554917,6.8644867567968504e-11,11.499869015222572
19000,189.99999999997218,21.222936534569964,16.266486551895909,588.93299193165728,624.60688211623051,35.673890184623261,4.991967950118692e-11,11.722936534571357
19500,194.99999999996763,21.694271789512531,16.701902479609451,603.37626685850762,641.0439053298137,37.667638471339991,3.0882851831393054e-11,11.944271789514149
20000,199.99999999996308,22.163883296344547,17.135741604304677,617.76697286112494,657.48092854340086,39.713955682284862,1.1770695529378372e-11,12.163883296346393
20500,204.99999999995853,22.631779066529607,17.568007930650722,632.10530041829725,673.91795175698508,41.812651338682187,-7.2233330428161935e-12,12.38177906653168
21000,209.99999999995399,23.097966710086563,17.998705820541169,646.39143950193954,690.35497497056986,43.963535468604618,-2.6724289448054606e-11,12.597966710088864
21500,214.99999999994944,23.562453516836641,18.427839912111221,660.62557953901489,706.79199818415736,46.166418645094694,-4.6107340168077826e-11,12.812453516839168
