step time energy_relative modified_relative
2250 3.515625 1.478729949402553e-05 -1.90363061038016e-15
2300 3.59375 1.7161233437796332e-05 -2.1574480250975146e-15
2350 3.671875 1.1660152483997014e-05 6.3454353679338663e-16
2400 3.75 2.2749320634997558e-05 -2.4112654398148692e-15
2450 3.828125 9.1800599471354669e-06 1.90363061038016e-15
2500 3.90625 1.6837406110264776e-05 -2.5381741471735465e-15
2550 3.984375 1.6851121215242364e-05 3.8072612207603202e-16
2600 4.0625 2.2730643724071058e-05 -2.0305393177388373e-15
2650 4.140625 6.0005808683091182e-06 -2.2843567324561919e-15
2700 4.21875 1.6578215738042115e-05 -2.5381741471735466e-16
2750 4.296875 2.1204716388538195e-05 -2.5381741471735466e-16
2800 4.375 1.5384118554104952e-05 -2.1574480250975146e-15
2850 4.453125 1.4668006888214955e-05 -2.7919915618909011e-15
2900 4.53125 1.3418946954296299e-05 -3.80726122076032e-15
2950 4.609375 2.0976941973550316e-05 2.9189002692495788e-15
3000 4.6875 1.8315278785598102e-05 -5.0763482943470932e-16
3050 4.765625 1.2970810863794655e-05 -3.426535098684288e-15
3100 4.84375 1.3957091705455298e-05 -2.1574480250975146e-15
3150 4.921875 1.9449176832742754e-05 -3.2996263913256107e-15
3200 5 1.7984100374026632e-05 -1.3959957809454506e-15
3250 5.078125 1.2890120653713347e-05 3.2996263913256107e-15
3300 5.15625 1.8760752939651393e-05 -3.1727176839669334e-15
3350 5.234375 1.529600687922828e-05 6.3454353679338663e-16
3400 5.3125 1.8800256825510877e-05 1.2690870735867733e-16
3450 5.390625 1.3342043050250285e-05 -1.3959957809454506e-15
3500 5.46875 1.8828397943432536e-05 -7.6145224415206403e-16
3550 5.546875 1.6065159637322851e-05 1.2690870735867733e-16
3600 5.625 1.4593816791950321e-05 -4.9494395869884157e-15
3650 5.703125 1.5249810739612564e-05 3.8072612207603202e-16
3700 5.78125 1.9894611221697133e-05 -2.6650828545322238e-15
3750 5.859375 1.4232210081691037e-05 5.3301657090644476e-15
3800 5.9375 1.3830135119168468e-05 -1.3959957809454506e-15
3850 6.015625 1.9580972503717129e-05 -3.8072612207603202e-16
3900 6.09375 1.3701964801278899e-05 -6.2185266605751896e-15
3950 6.171875 1.7720904143543427e-05 7.6145224415206403e-16
4000 6.25 1.5648418283278758e-05 -3.9341699281189973e-15
4050 6.328125 1.436557646506205e-05 -5.8378005384991576e-15
4100 6.40625 1.7682969745180198e-05 0
4150 6.484375 1.330523911919865e-05 -3.2996263913256107e-15
4200 6.5625 1.726023649955309e-05 -2.5381741471735466e-16
4250 6.640625 1.4721536285458292e-05 -2.1574480250975146e-15
4300 6.71875 1.6735687892853975e-05 -3.2996263913256107e-15
4350 6.796875 1.2205558527221308e-05 -2.7919915618909011e-15
4400 6.875 2.1986828289340858e-05 -2.2843567324561919e-15
4450 6.953125 1.371327420444942e-05 -5.5839831237818022e-15
4500 7.03125 1.3269721802083768e-05 1.0152696588694186e-15
4550 7.109375 1.2330790993760551e-05 -3.8072612207603202e-16
4600 7.1875 2.2892064092839214e-05 -4.3148960501950292e-15
4650 7.265625 1.7329477084685806e-05 -1.7767219030214827e-15
4700 7.34375 5.3931284481627954e-06 -8.8836095151074134e-16
4750 7.421875 2.1410642988977109e-05 1.0152696588694186e-15
4800 7.5 1.7936140371899945e-05 -8.8836095151074134e-16
4850 7.578125 1.7464029150303832e-05 -3.2996263913256107e-15
4900 7.65625 1.2548025683508235e-05 -1.2690870735867733e-16
