step time energy_relative modified_relative
2250 3.515625 9.7707603923561054e-06 -6.210123228442818e-15
2300 3.59375 1.077127418431902e-05 -3.8603468717347243e-15
2350 3.671875 1.2153719545834927e-05 -4.1960292084073094e-15
2400 3.75 9.2375874331463562e-06 -2.0140940200355086e-15
2450 3.828125 1.6236384724134296e-05 -6.210123228442818e-15
2500 3.90625 9.2071055429104455e-06 -2.1819351883718007e-15
2550 3.984375 1.0898664448934663e-05 -5.2030762184250637e-15
2600 4.0625 8.9607185045593185e-06 -7.3850114067968644e-15
2650 4.140625 1.3407944974104784e-05 -3.8603468717347243e-15
2700 4.21875 1.3283395266738488e-05 -3.3568233667258476e-15
2750 4.296875 9.8411531202759965e-06 -4.8673938817524786e-15
2800 4.375 8.592952067755974e-06 -1.6784116833629238e-15
2850 4.453125 1.2416293627085131e-05 -5.2030762184250637e-15
2900 4.53125 1.3766153118455925e-05 -1.0070470100177543e-15
2950 4.609375 9.2840420191898002e-06 -3.3568233667258474e-16
3000 4.6875 1.0299875662335754e-05 -3.3568233667258476e-15
3050 4.765625 1.148300031943965e-05 -5.3709173867613558e-15
3100 4.84375 1.1071989198224082e-05 -1.1748881783540466e-15
3150 4.921875 1.1793063422164383e-05 -3.0211410300532625e-15
3200 5 8.1995632261072975e-06 -5.0352350500887708e-15
3250 5.078125 1.3513652951553468e-05 -5.7065997234339408e-15
3300 5.15625 1.1226363740103378e-05 -2.1819351883718007e-15
3350 5.234375 9.5772564639267166e-06 -3.6925057033984322e-15
3400 5.3125 9.5715526692474862e-06 -2.3497763567080933e-15
3450 5.390625 1.1290535745655521e-05 -1.6784116833629237e-16
3500 5.46875 1.2825935462737893e-05 -8.3920584168146189e-16
3550 5.546875 9.5190757527489628e-06 -2.6854586933806779e-15
3600 5.625 1.0529942852264445e-05 -1.342729346690339e-15
3650 5.703125 1.0731149104778994e-05 -6.3779643967791101e-15
3700 5.78125 1.3582569847749632e-05 -5.5387585550976479e-15
3750 5.859375 8.2790059158766988e-06 -3.3568233667258476e-15
3800 5.9375 1.3447815144226092e-05 -2.3497763567080933e-15
3850 6.015625 8.7390362497135348e-06 -3.0211410300532625e-15
3900 6.09375 1.0640660185562137e-05 -2.0140940200355086e-15
3950 6.171875 1.0200358960951897e-05 -4.8673938817524786e-15
4000 6.25 1.3871361159469527e-05 -3.8603468717347243e-15
4050 6.328125 1.2357226446625323e-05 -7.8885349118057408e-15
4100 6.40625 8.900475208788035e-06 -8.3920584168146189e-16
4150 6.484375 1.1024057665665532e-05 -7.2171702384605723e-15
4200 6.5625 1.0925832356775989e-05 -3.3568233667258476e-15
4250 6.640625 1.2179194466399043e-05 -1.5105705150266313e-15
4300 6.71875 1.2893125438662697e-05 -3.1889821983895551e-15
4350 6.796875 8.1420547697134254e-06 -3.5246645350621397e-15
4400 6.875 1.3105398627010201e-05 -3.1889821983895551e-15
4450 6.953125 9.434236902886766e-06 -4.0281880400710172e-15
4500 7.03125 1.2213351728648177e-05 -3.0211410300532625e-15
4550 7.109375 1.0983065937706619e-05 -2.6854586933806779e-15
4600 7.1875 1.308304439623419e-05 -3.0211410300532625e-15
4650 7.265625 9.3127940707574057e-06 3.3568233667258474e-16
4700 7.34375 1.0758540500598364e-05 -6.3779643967791101e-15
4750 7.421875 9.7384205349499965e-06 -6.7136467334516951e-15
4800 7.5 1.2305738828087956e-05 -4.0281880400710172e-15
