step,water,bank,speed,rmin,rmax,overhang,bad,shore_flux,wet_front,bank_total,fraction_min,fraction_max,bulk_front
960,6952.9862148518396,1.1568523916594131e-13,0.093826557197943986,0.98916951041006185,1.0280319135891709,7,0,-0.0013737378281796185,259,4.8809922770232106e-10,0,1,255
1020,6952.9862148518787,1.2434497875801753e-13,0.097450284933701545,0.96259920955901701,1.0533647539270934,7,0,0.00067895595976966768,259,5.1640469678204681e-10,0,1,255
1080,6952.9862148518723,1.312283615106935e-13,0.11785711609246383,0.99466061934403016,1.0615843018428666,7,0,0.0007250240346186427,259,5.4219861933546554e-10,-0.030827066389207073,1,255
1140,6952.9862148518723,1.3433698597964394e-13,0.12634352362650203,0.97734500926072543,1.0274578835637451,5,0,0.00041061642844850073,259,5.7296167810250154e-10,0,1.0009120282769903,255
1200,6952.9862148518769,1.3977707880030721e-13,0.11709217334880873,0.97330119265549131,1.0442004671352612,7,0,-5.1356796304651356e-05,259,6.0175942007134609e-10,-0.039992257915343637,1,255
1260,6952.986214851845,1.4477308241112041e-13,0.13321692803832549,0.99760755146703017,1.0510314819647866,8,0,0.0047913952744574381,259,6.2629146313497586e-10,-0.021990670790684633,1,255
1320,6952.9862148518769,1.5076828674409626e-13,0.15174027938051551,0.98220327466710433,1.0393398910459406,8,0,0.0032727463658250699,259,6.5615035627075713e-10,-0.017533869376488799,1.0019011601346171,255
1380,6952.986214851876,1.5842882561400984e-13,0.14049378805924528,0.96904436731112009,1.0321700373902354,10,0,0.017049756487069776,259,6.8737471270452488e-10,-0.01520327413880712,1,255
1440,6952.9862148518741,1.6342482922482304e-13,0.16682154221827269,0.98861360608897808,1.0383591822925164,11,0,0.04766467901113644,259,7.1338113194485686e-10,-0.0978434366367779,1.0017436028868578,255
1500,6952.9862148518951,1.7119639039719914e-13,0.16048701619442945,0.99025380266243657,1.0539141235360641,10,0,0.12221358736066247,259,7.3889061535936662e-10,-0.010958515872592094,1.0009645031610697,255
1560,6952.9862148518851,1.7674750552032492e-13,0.15171289197468879,0.97650807104985016,1.0203289163243516,11,0,1.0187635156385537,259,7.7016082400405139e-10,-0.0060542311862481039,1.0000349788459233,255
1620,6952.9862148518932,1.8263168755083825e-13,0.15184820214811082,0.9811899303501882,1.0124044482087557,13,0,1.1080244539800777,259,7.9900652760755975e-10,-0.0056481972945162913,1.009531014511631,255
1680,6952.9862148518705,1.8940404800105171e-13,0.14373601238477043,0.99764783695011661,1.0611742297362927,18,0,1.1112819717714886,259,8.2363105224914079e-10,-0.0071376256939186247,1.0066336495501862,255
1740,6952.9862148518587,1.9650947535865271e-13,0.13702603931409596,0.99475398586998875,1.0254411864757003,16,0,1.2189726547586637,259,8.5316254061496011e-10,-0.045243763431889787,1.0096682482791872,255
1800,6952.9862148518732,2.0183854587685346e-13,0.12932440802914091,0.97281258597052422,1.0157103853997347,20,0,1.2577490526611923,259,8.8449980673033224e-10,-0.014102213017147484,1.0126410446164911,255
1860,6952.9862148518832,2.0827783941967937e-13,0.13058557320301309,0.99234225665299303,1.045507546284697,19,0,1.1518662619630748,267,9.1024177084619851e-10,-0.097338390392947949,1.0167304924425937,267
1920,6952.9862148518623,2.1516122217235534e-13,0.1201710327165314,0.98619121045369551,1.04818544481207,17,0,1.107827145372444,273,9.3533847334015263e-10,-0.083227594646032355,1.0029118096407008,273
1980,6952.9862148518641,2.2226664952995634e-13,0.11482021317984767,0.97770573666778648,1.0170561905091944,18,0,1.0177194496243991,278,9.6788832504302036e-10,-1.3648201080176456e-05,1,278
